"","age","ed","employ","income","lninc","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","spoused","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","carvalue","commutetime","tenure","longmon","lnlongmon","longten","lnlongten","tollmon","tollten","equipmon","equipten","cardmon","cardten","wiremon","wireten","hourstv","total_spend","ln_Total_spend"
"41",55,12,10,50,3.91,5.1,1.09,"0.08",1.46,"0.38",11,3,0,0,0,0,0,0,0,0,31.8,"21.00",49,9.3,2.23,"465.50","6.14",53.5,2663.3,0,0,42,"2060.00",0,0,29,564.42,6.33579865521192
"42",25,14,1,50,3.91,10.5,1.22,"0.20",4.03,"1.39",-1,5,1,0,1,0,0,0,0,0,-1,"15.00",46,14.45,2.67,"659.35","6.49",0,0,29.75,1319.5,26.5,"1150.00",0,0,22,558.4,6.32507555144816
"43",78,11,30,28,3.33,9.8,1.64,"0.49",1.11,"0.10",15,2,9,0,0,0,0,0,0,9,15.8,"34.00",31,5,1.61,"133.35","4.89",0,0,0,0,10.75,"295.00",0,0,20,391.13,5.96903998554428
"44",48,11,2,23,3.14,18.7,2.05,"0.72",2.25,"0.81",-1,2,9,0,0,0,2,0,0,7,9.3,"23.00",23,6.5,1.87,"169.80","5.13",34.75,763.75,0,0,15.75,"345.00",19.7,387.9,28,351.2,5.86135586176096
"45",47,19,1,75,4.32,2.2,0.1,"-2.28",1.55,"0.44",21,2,6,0,0,0,0,0,0,6,46.1,"22.00",21,6.15,1.82,"141.25","4.95",0,0,26.35,516.3,13.75,"290.00",0,0,19,470.35,6.15347709841796
"46",75,10,11,28,3.33,3.3,0.39,"-0.93",0.53,"-0.64",10,2,0,0,0,0,0,0,0,0,13.8,"20.00",16,4.3,1.46,"75.00","4.32",22.5,368.3,0,0,0,"0.00",0,0,12,617.07,6.42498246965818
"47",43,19,4,33,3.5,12.6,2.12,"0.75",2.04,"0.71",20,2,5,0,0,0,0,0,0,5,17.2,"22.00",27,6.65,1.89,"201.55","5.31",0,0,0,0,0,"0.00",0,0,18,526.02,6.26533923482855
"48",45,10,15,44,3.78,13.6,0.99,"-0.01",5,"1.61",9,5,1,1,0,0,0,0,0,0,30.9,"39.00",62,16.15,2.78,"1016.85","6.92",0,0,0,0,28.25,"1730.00",0,0,13,338.46,5.82440591697994
"49",21,16,0,31,3.43,9.2,0.77,"-0.26",2.08,"0.73",-1,1,6,1,0,0,2,0,0,3,16,"25.00",13,4.75,1.56,"47.55","3.86",0,0,0,0,0,"0.00",0,0,17,285.76,5.65515229768813
"50",53,21,19,284,5.65,9.4,15.46,"2.74",11.24,"2.42",-1,1,2,0,0,2,0,0,0,0,92.4,"29.00",48,13.35,2.59,"661.55","6.49",45,2199.2,0,0,13.75,"540.00",57.05,2716.6,13,1295.93,7.16698386310782
"51",30,13,8,49,3.89,2.1,0.19,"-1.64",0.84,"-0.18",-1,1,2,2,0,0,0,0,0,0,28.8,"34.00",3,4.05,1.4,"11.15","2.41",0,0,0,0,0,"0.00",0,0,18,355.01,5.87214595809276
"52",58,19,18,15,2.71,7.6,0.08,"-2.47",1.06,"0.05",-1,1,4,0,0,0,0,0,0,4,9.2,"20.00",42,16.55,2.81,"710.95","6.57",0,0,0,0,30.75,"1270.00",0,0,16,122.78,4.81039413599935
"53",35,11,5,17,2.83,2.3,0.25,"-1.37",0.14,"-1.99",9,4,4,0,0,0,0,0,0,4,11.4,"24.00",48,12.9,2.56,"555.75","6.32",0,0,0,0,10,"515.00",0,0,26,345.62,5.84533990562585
"54",48,14,14,83,4.42,11.3,4.82,"1.57",4.56,"1.52",13,2,7,0,1,0,0,0,0,6,36,"26.00",37,5.6,1.72,"221.20","5.40",24,885.9,49.85,1886.7,33,"1120.00",50,1710.15,22,293.82,5.68296733494228
"55",57,15,8,82,4.41,34.2,1.12,"0.11",26.92,"3.29",-1,1,0,0,0,0,0,0,0,0,53.2,"18.00",18,5.75,1.75,"107.95","4.68",0,0,0,0,0,"0.00",21,351.7,12,472.72,6.15850324703742
"56",61,20,11,62,4.13,2.3,0.54,"-0.62",0.89,"-0.12",18,4,2,0,2,0,0,0,0,0,-1,"23.00",30,5.6,1.72,"174.05","5.16",28.25,793.05,0,0,12.75,"330.00",0,0,18,794.18,6.67731013580641
"57",56,19,6,138,4.93,7,4.47,"1.50",5.19,"1.65",15,2,0,0,0,0,0,0,0,0,67.8,"19.00",66,22.05,3.09,"1442.05","7.27",42.75,2678,48.05,3054.8,32.25,"2120.00",60.5,4054.25,14,1019.76,6.92732258447467
"58",29,17,1,35,3.56,5.7,1.08,"0.08",0.92,"-0.09",16,2,0,0,0,0,0,0,0,0,16.8,"20.00",57,17.05,2.84,"934.00","6.84",30.75,1727.8,0,0,14.75,"790.00",43.15,2437.2,22,707.38,6.56156800382435
"59",68,11,36,35,3.56,12.2,0.74,"-0.30",3.53,"1.26",16,2,0,0,0,0,0,0,0,0,13.9,"19.00",64,17.7,2.87,"1114.00","7.02",0,0,0,0,25.5,"1585.00",0,0,21,458.87,6.12876694554407
"60",22,16,0,20,3,5.2,0.28,"-1.27",0.76,"-0.27",13,4,3,3,0,0,0,0,0,0,-1,"19.00",29,7.2,1.97,"220.90","5.40",0,0,21.4,559.85,0,"0.00",0,0,18,592.83,6.38490767998882
"61",46,10,5,25,3.22,7.7,0.48,"-0.74",1.45,"0.37",-1,1,6,0,0,0,0,0,0,6,13.4,"26.00",31,9.2,2.22,"322.50","5.78",17.5,552.75,0,0,0,"0.00",0,0,20,246.96,5.5092263801939
"62",24,17,0,33,3.5,3.9,0.43,"-0.85",0.86,"-0.15",19,3,1,1,0,0,0,0,0,0,16.8,"30.00",5,5.95,1.78,"38.25","3.64",0,0,41.85,163.4,0,"0.00",25.4,89.6,22,284.64,5.65122522391752
"63",78,16,18,32,3.47,23.1,3.17,"1.15",4.22,"1.44",17,2,9,0,0,0,0,0,0,9,14.8,"22.00",39,6.75,1.91,"234.75","5.46",43.75,1739.95,0,0,16.5,"620.00",32.2,1224.05,20,296.8,5.69305851129323
"64",73,10,31,16,2.77,3,0.3,"-1.21",0.18,"-1.71",10,4,5,0,0,0,0,5,0,0,7,"19.00",66,19.1,2.95,"1231.75","7.12",0,0,0,0,28.5,"1900.00",0,0,33,370.95,5.91606728263554
"65",26,20,0,64,4.16,3.9,0.39,"-0.94",2.1,"0.74",-1,1,2,1,1,0,0,0,0,0,27.3,"33.00",8,2.05,0.72,"15.45","2.74",0,0,0,0,0,"0.00",0,0,19,520.74,6.25525087688421
"66",44,15,7,31,3.43,14.8,2.11,"0.74",2.48,"0.91",-1,1,12,0,0,0,0,0,0,12,13.5,"21.00",52,12.25,2.51,"629.55","6.45",0,0,0,0,27,"1400.00",0,0,24,785.06,6.66576014798257
"67",30,12,1,18,2.89,14.5,0.8,"-0.22",1.81,"0.59",15,4,0,0,0,0,0,0,0,0,10.2,"21.00",27,3.2,1.16,"86.30","4.46",0,0,0,0,0,"0.00",0,0,21,368.57,5.90963065288385
"68",44,8,9,41,3.71,3.1,0.15,"-1.89",1.12,"0.11",-1,1,0,0,0,0,0,0,0,0,16.4,"32.00",14,5.7,1.74,"75.95","4.33",0,0,0,0,0,"0.00",0,0,20,431.22,6.06661840070841
"69",21,12,1,22,3.09,2.7,0.28,"-1.29",0.32,"-1.14",12,2,0,0,0,0,0,0,0,0,11.5,"29.00",6,4.55,1.52,"26.35","3.27",0,0,0,0,0,"0.00",0,0,17,635.39,6.45423898359385
"70",62,9,31,14,2.64,15,0.58,"-0.55",1.52,"0.42",11,2,3,0,1,0,0,2,0,0,5.1,"18.00",70,41.75,3.73,"2817.05","7.94",28.75,2108.75,0,0,38.25,"2655.00",0,0,16,95.33,4.55734455650549
"71",33,14,4,82,4.41,6.9,3.75,"1.32",1.91,"0.65",14,2,5,0,0,0,0,0,0,5,58.4,"30.00",21,4.45,1.49,"81.70","4.40",0,0,0,0,0,"0.00",0,0,15,474.17,6.16156590718464
"72",65,17,7,91,4.51,0.3,0.09,"-2.36",0.18,"-1.72",-1,1,0,0,0,0,0,0,0,0,53.9,"17.00",68,22,3.09,"1487.15","7.30",0,0,55.95,3887.2,19,"1325.00",84.85,5602.9,17,542.15,6.29554271591819
"73",38,16,10,74,4.3,4.7,0.7,"-0.36",2.78,"1.02",12,2,0,0,0,0,0,0,0,0,36.5,"27.00",36,14.1,2.65,"521.90","6.26",24.75,888.9,0,0,0,"0.00",0,0,18,913.66,6.81745851100098
"74",34,15,3,46,3.83,2.1,0.36,"-1.03",0.61,"-0.50",-1,2,2,2,0,0,0,0,0,0,17.5,"28.00",31,10.8,2.38,"354.45","5.87",25,733.35,0,0,0,"0.00",0,0,20,225.02,5.41618928714293
"75",78,20,13,14,2.64,8.2,0.31,"-1.18",0.84,"-0.17",14,2,4,0,0,0,0,0,0,4,8,"25.00",72,35.8,3.58,"2537.20","7.84",0,0,0,0,55.5,"3980.00",0,0,16,414.08,6.02605919187248
"76",47,10,17,68,4.22,22,5.4,"1.69",9.56,"2.26",-1,1,0,0,0,0,0,0,0,0,40.5,"26.00",28,7.95,2.07,"213.90","5.37",0,0,0,0,0,"0.00",0,0,15,835.34,6.72783882760203
"77",60,19,22,101,4.62,7.2,1.5,"0.40",5.77,"1.75",20,2,2,0,1,1,0,0,0,0,39.7,"30.00",14,10.1,2.31,"121.55","4.80",26,364.35,39.05,494.8,18,"215.00",22.65,271.75,17,1661.44,7.41543997519556
"78",61,17,7,121,4.8,9.1,4.09,"1.41",6.93,"1.94",12,2,5,0,2,3,0,0,0,0,67.7,"28.00",60,9.5,2.25,"540.00","6.29",25.25,1485.25,0,0,21.75,"1360.00",0,0,19,375.3,5.92772570614097
"79",77,11,23,19,2.94,15.3,0.87,"-0.14",2.04,"0.71",-1,1,8,0,0,0,0,0,0,8,9.8,"30.00",32,5.05,1.62,"150.00","5.01",0,0,0,0,0,"0.00",0,0,29,108.45,4.68628923727288
"80",21,16,0,30,3.4,13.5,1.23,"0.20",2.82,"1.04",13,4,0,0,0,0,0,0,0,0,9.9,"31.00",10,4.7,1.55,"52.35","3.96",0,0,24.7,190.85,0,"0.00",0,0,20,757.79,6.63040630240348
"81",31,19,1,43,3.76,2.1,0.71,"-0.35",0.2,"-1.63",-1,3,4,0,0,0,0,0,0,4,28.5,"37.00",2,4.3,1.46,"6.30","1.84",0,0,32.85,42.85,27,"25.00",28.75,22.3,16,378.05,5.93502646200428
"82",74,11,26,18,2.89,1.4,0.05,"-2.91",0.2,"-1.62",-1,1,7,0,0,0,0,0,0,7,11,"32.00",50,14.8,2.69,"708.25","6.56",23.75,1123.5,0,0,15.25,"700.00",0,0,24,399.28,5.98966292516135
"83",27,20,0,42,3.74,16.4,1.37,"0.32",5.52,"1.71",16,4,2,0,2,0,0,0,0,0,17.8,"27.00",41,15.65,2.75,"580.35","6.36",0,0,49,2046.8,17.75,"695.00",49.25,2032.4,20,450.3,6.10991402730753
"84",64,10,36,327,5.79,11.7,15.53,"2.74",22.73,"3.12",16,2,0,0,0,0,0,0,0,0,85.8,"23.00",72,100.7,4.61,"7400.85","8.91",65.75,4707,0,0,24.25,"1770.00",0,0,16,905.97,6.80900619291196
"85",72,18,9,30,3.4,6.9,0.18,"-1.74",1.89,"0.64",14,2,3,0,0,0,0,3,0,0,12.8,"20.00",40,12.4,2.52,"507.25","6.23",18,713.6,0,0,0,"0.00",0,0,24,103.75,4.64198415911081
"86",66,16,21,96,4.56,15.6,8.33,"2.12",6.65,"1.89",20,2,0,0,0,0,0,0,0,0,44.1,"31.00",70,24.55,3.2,"1858.25","7.53",25.5,1819.25,0,0,34,"2385.00",0,0,22,603.76,6.40317676797661
"87",55,16,29,143,4.96,10.9,9.66,"2.27",5.92,"1.78",-1,1,0,0,0,0,0,0,0,0,94.8,"23.00",69,18.5,2.92,"1286.10","7.16",57.75,3967.3,54.4,3676.2,24,"1715.00",0,0,21,1631.52,7.39726737461592
"88",20,15,0,25,3.22,6.8,0.91,"-0.10",0.79,"-0.23",-1,1,0,0,0,0,0,0,0,0,14.7,"32.00",7,3.65,1.29,"29.10","3.37",16.25,125.35,35.95,210.55,34,"215.00",30.8,186,33,209.18,5.34319512532612
"89",59,18,7,68,4.22,6.5,2.15,"0.76",2.27,"0.82",-1,1,0,0,0,0,0,0,0,0,34.2,"18.00",56,19.95,2.99,"1154.15","7.05",52,3072.8,61.9,3395,31.75,"1870.00",74.8,4242.6,19,839.14,6.73237755786259
"90",69,8,16,78,4.36,12.7,6.69,"1.90",3.22,"1.17",7,2,2,1,1,0,0,0,0,0,-1,"23.00",72,46.7,3.84,"3491.90","8.16",73.5,5498.15,0,0,33.5,"2365.00",0,0,16,503.16,6.22090821097067
"91",43,13,2,38,3.64,6.5,0.45,"-0.79",2.02,"0.70",-1,1,0,0,0,0,0,0,0,0,18.2,"24.00",17,6.6,1.89,"114.15","4.74",0,0,0,0,0,"0.00",0,0,16,186.54,5.22864569329872
"92",62,15,7,56,4.03,27.7,2.45,"0.90",13.06,"2.57",17,3,0,0,0,0,0,0,0,0,18,"21.00",54,10.45,2.35,"553.75","6.32",0,0,0,0,24.25,"1240.00",0,0,17,599.21,6.39561212098231
"93",32,14,5,65,4.17,14.1,4.13,"1.42",5.03,"1.62",-1,1,1,1,0,0,0,0,0,0,36.7,"27.00",10,3.7,1.31,"29.90","3.40",0,0,32.95,261.2,0,"0.00",0,0,20,490.75,6.19593483315657
"94",78,10,28,17,2.83,20.8,0.63,"-0.47",2.91,"1.07",-1,1,0,0,0,0,0,0,0,0,9.6,"25.00",26,15.35,2.73,"378.70","5.94",0,0,0,0,13,"325.00",0,0,16,396.38,5.9823733470962
"95",64,15,11,62,4.13,17.5,0.42,"-0.86",10.43,"2.34",18,2,0,0,0,0,0,0,0,0,31.9,"25.00",72,73.55,4.3,"5166.20","8.55",0,0,44.55,3259.85,52.5,"3775.00",0,0,16,549.83,6.30960913953898
"96",75,11,11,11,2.4,8,0.23,"-1.49",0.65,"-0.42",-1,1,0,0,0,0,0,0,0,0,5.7,"29.00",42,11.45,2.44,"457.40","6.13",0,0,0,0,15.25,"660.00",0,0,21,365.28,5.90066418278149
"97",74,19,20,108,4.68,9.3,4.55,"1.52",5.49,"1.70",16,2,5,0,0,0,0,0,0,5,39.8,"27.00",69,22.65,3.12,"1550.10","7.35",0,0,0,0,32.75,"2260.00",0,0,23,970.85,6.87817197644046
"98",20,15,0,19,2.94,7.6,0.28,"-1.27",1.16,"0.15",-1,1,4,0,0,0,1,0,0,3,7.6,"24.00",1,2.1,0.74,"2.10","0.74",0,0,25.55,25.55,0,"0.00",0,0,27,163.53,5.0969964597443
"99",65,15,6,26,3.26,11.1,0.71,"-0.35",2.18,"0.78",-1,1,7,0,0,0,0,0,0,7,15.2,"26.00",70,68.1,4.22,"4632.00","8.44",0,0,35.8,2430.95,31.75,"2110.00",0,0,12,384.83,5.95280167833059
"100",66,16,3,21,3.04,21.2,1.71,"0.54",2.74,"1.01",-1,1,0,0,0,0,0,0,0,0,-1,"25.00",62,10.2,2.32,"625.05","6.44",0,0,0,0,24,"1485.00",0,0,27,411.25,6.01920130207958
"101",45,19,10,82,4.41,7,1.91,"0.64",3.83,"1.34",21,2,0,0,0,0,0,0,0,0,50.5,"19.00",14,2.25,0.81,"24.65","3.20",0,0,31.35,438.25,9.25,"85.00",0,0,20,543.65,6.29830565744376
"102",44,13,13,60,4.09,12.5,2.21,"0.79",5.29,"1.67",17,2,3,0,0,0,3,0,0,0,35.5,"12.00",70,32.3,3.48,"2239.45","7.71",0,0,0,0,14.5,"1045.00",0,0,20,736.64,6.60209930609346
"103",59,11,21,100,4.61,5.9,1.86,"0.62",4.04,"1.40",-1,1,6,0,1,0,0,3,0,2,57.1,"21.00",63,20,3,"1292.85","7.16",0,0,0,0,24,"1440.00",0,0,18,419.83,6.03984986743444
"104",38,15,8,81,4.39,10.9,4.33,"1.46",4.5,"1.50",10,2,0,0,0,0,0,0,0,0,30.6,"28.00",1,1.4,0.34,"1.40","0.34",0,0,0,0,0,"0.00",0,0,15,895.65,6.79754971166111
"105",65,13,9,34,3.53,17.3,2.52,"0.92",3.36,"1.21",-1,1,1,1,0,0,0,0,0,0,15.2,"20.00",36,6.4,1.86,"241.75","5.49",19.5,723.25,0,0,20.5,"705.00",0,0,23,1601.25,7.37853985321094
"106",26,15,1,23,3.14,10.3,0.62,"-0.48",1.75,"0.56",-1,1,5,0,0,0,0,0,0,5,14.8,"19.00",8,5.15,1.64,"58.40","4.07",0,0,0,0,0,"0.00",0,0,14,442.72,6.09293751603862
"107",70,16,11,107,4.67,14.1,1.19,"0.18",13.9,"2.63",-1,1,3,2,0,0,1,0,0,0,54.2,"30.00",56,12.75,2.55,"760.40","6.63",33,1824.55,0,0,0,"0.00",0,0,24,267.75,5.59005370932786
"108",65,18,17,66,4.19,6.9,2.61,"0.96",1.94,"0.67",19,2,0,0,0,0,0,0,0,0,31.5,"36.00",65,22.5,3.11,"1397.15","7.24",0,0,0,0,32.75,"2075.00",0,0,21,459.82,6.13083510855579
"109",61,9,31,107,4.67,3.6,1.89,"0.64",1.96,"0.68",-1,3,4,0,0,0,0,0,0,4,44.1,"27.00",63,11.6,2.45,"695.80","6.55",18.25,1136.6,0,0,8.75,"530.00",0,0,22,857,6.75343791859778
